location,corr_coeff_min,negative_correlation_time_delay,corr_coeff_max,positive_correlation_time_delay,signal_length,column_name
Cuba,-0.6390601964350321,526,0.24535731908366043,-1,624,H3_Contact tracing
Bangladesh,-0.6384419148240976,530,0.20137881104956043,-1,624,C4_Restrictions on gatherings
Thailand,-0.6379843388762921,543,0.6020477573758848,-4,624,C6_Stay at home requirements
Denmark,-0.6373991869274996,321,0.2660042211683041,-1,624,H1_Public information campaigns
Guatemala,-0.6372793014669729,551,0.2978425394568804,-1,624,C4_Restrictions on gatherings
Argentina,-0.6368695946746258,466,0.3941444414165813,-1,624,C5_Close public transport
Argentina,-0.6368695946746258,466,0.3941444414165813,-1,624,E1_Income support
Portugal,-0.6366571523541834,330,0.23745814109571395,-1,624,E1_Income support
Portugal,-0.6366571523541834,330,0.23745814109571395,-1,624,H8_Flag
Portugal,-0.6364815865043283,337,0.23187189411799153,-1,624,C8_International travel controls
Thailand,-0.6363721049971326,526,0.4283381866746226,-1,624,H6_Facial Coverings
Portugal,-0.6355228214741535,335,0.24482818043501123,-1,624,E2_Debt/contract relief
Italy,-0.6353877083307483,299,0.37752537290487204,-1,624,E2_Debt/contract relief
Lebanon,-0.6348986931050575,363,0.39451489733152856,-1,624,H6_Facial Coverings
United States,-0.633279677571165,319,0.3677871502703225,-1,624,C5_Close public transport
Kuwait,-0.6331712256530855,425,0.6095906463845809,-9,624,H6_Facial Coverings
Portugal,-0.6329293486217232,335,0.24687046171432886,-1,624,C4_Restrictions on gatherings
United States,-0.6324046267204652,319,0.3651292267282184,-1,624,H1_Public information campaigns
Indonesia,-0.6313607813889872,531,0.1494450084690482,-1,624,C2_Workplace closing
Bangladesh,-0.6313139342205261,531,0.22628959722590541,-1,624,stringency_index
Myanmar,-0.6310588467975857,0,0.22112508564608532,-176,624,C3_Flag
India,-0.6308628547406055,454,0.36694032638704793,-4,624,C2_Workplace closing
Malta,-0.6298408255250462,369,0.28890898360321976,-1,624,E1_Income support
Paraguay,-0.6297714506851357,296,0.3297945167837267,-63,624,C7_Flag
Saudi Arabia,-0.6290964449714012,155,0.4946018906164713,-1,624,stringency_index
United States,-0.628236918022865,322,0.34615377126467123,-1,624,H2_Testing policy
United States,-0.6280228737925229,313,0.38529857243889226,-2,624,E2_Debt/contract relief
Guatemala,-0.6276209277486037,7,0.31721022860215387,-454,624,C2_Flag
Uruguay,-0.6274782865167595,449,0.09105608727433305,-456,624,H8_Protection of elderly people
Serbia,-0.6273176921943349,134,0.372253977639393,-147,624,C6_Flag
Serbia,-0.6273176921943349,134,0.372253977639393,-147,624,H8_Flag
Turkey,-0.6252971672135826,148,0.1614889142098862,-109,624,H8_Flag
Romania,-0.6249152617290974,26,0.19975736692889715,-242,624,C2_Flag
Argentina,-0.6247069099951663,467,0.38434621779395334,-1,624,C4_Restrictions on gatherings
Uruguay,-0.6238510878959426,453,0.3989429822936237,-1,624,C8_International travel controls
Thailand,-0.6237107444725813,532,0.264190614760433,-1,624,E2_Debt/contract relief
Croatia,-0.6236149424122088,291,0.23869138305011692,-1,624,C1_Flag
Myanmar,-0.6228594816745323,539,0.2447668713003678,-1,624,C6_Stay at home requirements
Qatar,-0.6227121281166053,115,0.5646188788698023,-1,624,C1_School closing
Portugal,-0.622129105309054,343,0.11162094113364752,-1,624,H8_Protection of elderly people
Panama,-0.621506437942944,327,0.3186545382759634,-7,624,C2_Workplace closing
Cuba,-0.6204893247714249,526,0.2526885096648147,-1,624,C4_Restrictions on gatherings
Argentina,-0.6199481419680806,462,0.41454525861095176,-1,624,C7_Restrictions on internal movement
Mongolia,-0.6197268087763395,158,0.15844652665455297,-7,624,C3_Flag
Lebanon,-0.6186356498311159,367,0.40393212795172423,-1,624,E2_Debt/contract relief
Bahrain,-0.618421422001229,451,0.2095872007845105,-1,624,C4_Restrictions on gatherings
Lithuania,-0.6181155967129206,49,0.3940930937968874,-124,624,C5_Flag
Ukraine,-0.6177473738920202,147,0.5006810149689447,-94,624,C5_Flag
Uruguay,-0.6173480679827031,456,0.10295473533928566,-456,624,E2_Debt/contract relief
Croatia,-0.6170615464011945,289,0.24222746844390544,-1,624,C3_Flag
Argentina,-0.6156236787952164,463,0.36032218391525694,-1,624,C3_Cancel public events
Trinidad and Tobago,-0.6155659752375752,482,0.2226132295418946,-1,624,C3_Cancel public events
Paraguay,-0.6151882438122788,466,0.12583851459910722,-1,624,C4_Restrictions on gatherings
Portugal,-0.6151425316944417,310,0.2673251885857569,-1,624,H2_Testing policy
Namibia,-0.6144503446663666,505,0.18740056257193818,-1,624,H1_Public information campaigns
Philippines,-0.6143227764638297,586,0.28517839142677137,-1,624,C3_Cancel public events
South Sudan,-0.6141733004706044,260,0.12818240883015103,-139,624,C5_Flag
Qatar,-0.6137877605688417,100,0.37506264839363157,-7,624,C7_Flag
Malta,-0.613784449533231,373,0.27924633530699466,-1,624,E2_Debt/contract relief
Liechtenstein,-0.6135004639294033,293,0.4338755584433432,-1,624,C8_International travel controls
Ireland,-0.6130001364376126,137,0.1621065831282125,-200,624,C2_Flag
Cuba,-0.6127163309093848,526,0.09734354265558702,-1,624,C2_Workplace closing
Portugal,-0.6126882255189288,368,0.23037279183539447,-1,624,H1_Public information campaigns
Laos,-0.612664364561328,141,0.10811590776712882,-407,624,C1_Flag
Malta,-0.6125078807615697,369,0.2948552152976526,-1,624,H2_Testing policy
Croatia,-0.6117615722193994,292,0.24561735913718802,-1,624,C2_Flag
Albania,-0.611618435461452,306,0.42586947250992857,-1,624,E1_Flag
Albania,-0.611618435461452,306,0.42586947250992857,-1,624,C5_Flag
United States,-0.6115200549659372,321,0.405693822652983,-1,624,stringency_index
Austria,-0.6112453069558719,17,0.13013883669710574,-131,624,C6_Flag
Lebanon,-0.6110786765879173,367,0.31786839446426357,-1,624,C3_Flag
Iran,-0.6108624498763103,558,0.07511150406722794,-1,624,C1_School closing
Thailand,-0.6107994055069743,86,0.2053168796694091,-382,624,C6_Flag
Thailand,-0.6104372243122121,554,0.37093443742003546,-1,624,C3_Cancel public events
Algeria,-0.6099329393012035,471,0.20385735272538305,-35,624,C2_Flag
Iran,-0.6088207542270259,557,0.49310961609738924,-1,624,stringency_index
Slovakia,-0.6067028309171687,342,0.2571384188933824,-1,624,E1_Income support
Vietnam,-0.6058504982494506,579,0.23065569353665924,-1,624,stringency_index
Romania,-0.6055023611029383,293,0.303801203409098,-1,624,E1_Income support
Thailand,-0.6050481137982082,541,0.014353709712680145,-1,624,H8_Protection of elderly people
Malaysia,-0.6039639820553762,552,0.4725968775263191,-1,624,C4_Restrictions on gatherings
Turkey,-0.6036575223787483,44,0.1715186589367608,-132,624,C7_Flag
Colombia,-0.6033551940314351,490,0.30264770869443036,-1,624,C1_School closing
Japan,-0.6031804323834257,574,0.4365427476783231,-1,624,stringency_index
Rwanda,-0.6028430599819674,355,0.14970645610733269,-44,624,C5_Flag
Vietnam,-0.6026739062121151,548,0.18950286429461485,-1,624,C2_Workplace closing
Nigeria,-0.6025927508693746,348,0.15674193799720643,-232,624,C2_Workplace closing
Malaysia,-0.602185924172532,139,0.18443967790299381,-222,624,C4_Flag
Cape Verde,-0.5998006195030346,31,0.1115080637731711,-442,624,E1_Flag
Iran,-0.5996258973219535,1,0.33680789498002756,-326,624,H8_Flag
Austria,-0.5994423549819614,292,0.2633902585349089,-1,624,C8_International travel controls
Lithuania,-0.5993395159997356,0,0.5373112798465834,-243,624,E1_Flag
Argentina,-0.5991708161746442,470,0.33969753042979983,-1,624,H3_Contact tracing
Malta,-0.5987234544817892,378,0.26981504471028855,-1,624,H1_Public information campaigns
Iran,-0.5968596399978435,246,0.22216563326841196,-284,624,H6_Flag
Chile,-0.5966255168654566,441,0.4521789888552476,-1,624,H3_Contact tracing
Japan,-0.5964901784921004,563,0.14821032871043868,-1,624,H6_Facial Coverings
Trinidad and Tobago,-0.5960700340161709,270,0.21151071006388908,-1,624,C7_Flag
Myanmar,-0.5937875239194116,350,0.1466817656502379,-17,624,C1_School closing
Portugal,-0.5936358242919969,336,0.29355804846746436,-10,624,stringency_index
United States,-0.5928431523452876,312,0.46695360348465487,-1,624,H6_Facial Coverings
Iraq,-0.591772017889113,72,0.2455783455833017,-476,624,C4_Flag
Colombia,-0.5899767859634556,490,0.2013174285367333,-1,624,stringency_index
Namibia,-0.589643866534277,57,0.08663662221206056,-38,624,C4_Flag
Czechia,-0.5889416538971384,167,0.32113215623747254,-152,624,C2_Flag
Paraguay,-0.5880979426546914,445,0.4169381406610214,-1,624,E1_Income support
Cape Verde,-0.5877630631507432,447,0.3318217412463417,-1,624,E1_Income support
Russia,-0.5877332696610861,0,0.18983751113980665,-347,624,C2_Flag
Moldova,-0.5873001162223341,272,0.4865253176818598,-1,624,H1_Public information campaigns
Japan,-0.5871391849489859,572,0.09104450645930535,-1,624,C3_Cancel public events
Portugal,-0.5870347572689051,336,0.3296263628822064,-22,624,C2_Workplace closing
Uruguay,-0.5859282696507406,454,0.45626398262945345,-98,624,H3_Contact tracing
Fiji,-0.5858758612201475,538,0.42285880578763224,-21,624,C4_Restrictions on gatherings
Iran,-0.5857766896329099,1,0.319058828070173,-326,624,C6_Flag
Trinidad and Tobago,-0.5852844044089358,481,0.2558258804646484,-1,624,H6_Facial Coverings
Trinidad and Tobago,-0.584657030217358,9,0.25861131919924796,-405,624,C1_School closing
Zimbabwe,-0.584272323506697,526,0.17257910493056572,-1,624,H1_Public information campaigns
Rwanda,-0.583736213555768,526,0.24857838779427882,-1,624,E1_Income support
Japan,-0.5835421478119232,568,0.22976943157821894,-1,624,C7_Restrictions on internal movement
Austria,-0.5833475314085051,292,0.2759922298853078,-1,624,E2_Debt/contract relief
Paraguay,-0.5831160004521356,466,0.08220716898454972,-398,624,stringency_index
Albania,-0.5826028511452488,196,0.3468219328836911,-139,624,C7_Flag
Myanmar,-0.5823933777078374,539,0.05165208683054116,-482,624,stringency_index
Argentina,-0.5821016390085298,16,0.18308993034227647,-389,624,C6_Flag
Kazakhstan,-0.581549216977194,463,0.0057556109852621015,-175,624,E4_International support
Trinidad and Tobago,-0.5812759035533138,482,0.2938946758949361,-1,624,C4_Restrictions on gatherings
Austria,-0.5810938336124712,294,0.27984702636355113,-1,624,E1_Income support
Lebanon,-0.5804084090039217,370,0.28316061575921425,-1,624,H1_Public information campaigns
Tunisia,-0.5802712756789357,2,0.15446034682783882,-520,624,C2_Flag
Iraq,-0.5802537937237012,536,0.40684561154120213,-1,624,C7_Flag
Argentina,-0.5801127894678314,467,0.2589412228945065,-1,624,stringency_index
Chile,-0.5797528946937158,447,0.4395204107068707,-1,624,C7_Restrictions on internal movement
Poland,-0.5792095559918798,15,0.11476746652936451,-173,624,C1_Flag
Iraq,-0.5790095145819092,550,0.3491417024017499,-1,624,C1_Flag
Cuba,-0.5787782845127818,540,0.3334447228480109,-1,624,C5_Close public transport
Uzbekistan,-0.5785966730142492,201,0.19192120698621384,-1,624,H8_Protection of elderly people
Laos,-0.5783769721126585,547,0.031027610983846456,-553,624,H1_Public information campaigns
Malta,-0.578263730845017,383,0.10201170782637355,-1,624,C8_International travel controls
Chile,-0.5781250769966362,0,0.25203546219707323,-136,624,C4_Flag
Chile,-0.5781250769966362,0,0.25203546219707323,-136,624,C2_Flag
Uzbekistan,-0.5780494280666928,415,0.30153522357379675,-125,624,C6_Flag
Denmark,-0.5775372522565375,0,0.18037889857685555,-197,624,C2_Flag
Uruguay,-0.5767206747771362,373,0.2925828780644366,-32,624,H2_Testing policy
Panama,-0.5766701641456023,325,0.3778857714661538,-1,624,H2_Testing policy
Bahrain,-0.5765720496883203,454,0.26948252316474447,-8,624,C3_Cancel public events
Iraq,-0.5757571614175455,536,0.4249948444320175,-1,624,C5_Flag
Qatar,-0.5755434339932453,108,0.46003420847093934,-345,624,H8_Protection of elderly people
Uzbekistan,-0.5753647548440299,429,0.27112898016543335,-123,624,C2_Flag
Thailand,-0.5752245400726217,532,0.07568083393792553,-386,624,E1_Income support
Indonesia,-0.5743418325682961,512,0.3087099418922399,-1,624,C6_Stay at home requirements
Norway,-0.5739231328574901,27,0.27740771848430934,-300,624,H6_Flag
Seychelles,-0.573767297258695,118,0.1342480320432965,-48,624,C3_Flag
Argentina,-0.5737078514805979,466,0.3313235220154398,-1,624,C8_International travel controls
Qatar,-0.5733978329198995,99,0.40045978383079844,-5,624,H6_Facial Coverings
Germany,-0.5733418280128952,178,0.4430946736009809,-118,624,C2_Flag
Namibia,-0.571929896431401,5,0.06834470169400989,-534,624,C1_Flag
Malta,-0.5718899183788334,376,0.20525499516151438,-21,624,stringency_index
Thailand,-0.5706686070320729,538,0.24318002698910002,-7,624,C7_Restrictions on internal movement
Cape Verde,-0.5701561042127795,447,0.3036762353645662,-1,624,E2_Debt/contract relief
Laos,-0.5697597404031461,99,0.06258587604666961,-483,624,C2_Flag
Hungary,-0.5694688406882183,410,0.046444115850416814,-335,624,E2_Debt/contract relief
Guatemala,-0.5687870540319478,516,0.36143049314009146,-1,624,E2_Debt/contract relief
Seychelles,-0.5681996918047278,480,0.11607739347886604,-2,624,C1_Flag
Kazakhstan,-0.5676172434922016,480,0.016407896060658213,-105,624,E3_Fiscal measures
Iraq,-0.5675980765319041,532,0.4367802888826788,-1,624,H8_Flag
Denmark,-0.5671391655149202,313,0.2877439404697642,-1,624,E1_Income support
Cape Verde,-0.5668069503365525,442,0.3431118163130537,-1,624,H8_Flag
Cape Verde,-0.5668069503365525,442,0.3431118163130537,-1,624,C6_Flag
Fiji,-0.5667142559499371,538,0.26372052847652155,-34,624,C2_Workplace closing
Fiji,-0.5645979887667882,544,0.3806086234540068,-21,624,stringency_index
Georgia,-0.5643516230904254,293,0.21390255265828143,-19,624,C3_Cancel public events
Ukraine,-0.5639360845344502,286,0.5046434902010859,-1,624,H8_Protection of elderly people
Mongolia,-0.5633131315627388,102,0.13678320847062633,-347,624,C6_Flag
Kuwait,-0.5632108073112208,438,0.4644877450850788,-3,624,E2_Debt/contract relief
Panama,-0.5631295749036616,318,0.32743341039512586,-236,624,C6_Stay at home requirements
Colombia,-0.5628790063022494,0,0.3117012326681789,-418,624,C1_Flag
Saudi Arabia,-0.5627601147974878,13,0.16169218868673724,-102,624,C4_Flag
Saudi Arabia,-0.5627601147974878,13,0.16169218868673724,-102,624,C5_Flag
Guatemala,-0.5626096482971525,80,0.3092413340488318,-380,624,C3_Flag
Jordan,-0.5624007665135482,397,0.26457238604631517,-1,624,E1_Income support
Romania,-0.5623786683585814,210,0.40097255610020943,-80,624,C7_Flag
Bangladesh,-0.5622808253882516,530,0.13795402746745053,-1,624,C6_Stay at home requirements
Denmark,-0.560952309517397,0,0.31654455089267747,-331,624,C7_Flag
Austria,-0.5608152046418418,292,0.2811913015340276,-1,624,H3_Contact tracing
Uzbekistan,-0.5601649798952643,548,0.4060382556834774,-1,624,C4_Restrictions on gatherings
Slovakia,-0.5599723621926844,351,0.23895147114082996,-1,624,E2_Debt/contract relief
Chile,-0.5598796899706194,441,0.5729556248725275,-1,624,C6_Stay at home requirements
Denmark,-0.5594731488513137,316,0.1815872061410417,-36,624,C8_International travel controls
United States,-0.5593107807402361,316,0.41752212449540416,-1,624,C7_Restrictions on internal movement
